Accession,GeneName
A0A5B9,TRBC2
A0AV02,SLC12A8
A0AVI2,FER1L5
A0AVI4,TMEM129
A0FGR8,ESYT2
A0FGR9,ESYT3
A0PJK1,SLC5A10
A0PJW6,TMEM223
A0PJX4,SHISA3
A0PJX8,TMEM82
A0PJZ3,GXYLT2
A0PK00,TMEM120B
A0PK05,TMEM72
A0PK11,CLRN2
A0ZSE6,TMEM30CP
A1A5B4,ANO9
A1A5C7,SLC22A23
A1KXE4,FAM168B
A1L0T0,ILVBL
A1L157,TSPAN11
A1L1A6,IGSF23
A1L3X0,ELOVL7
A2A2V5,SERTM1
A2A2Y4,FRMD3
A2RRL7,TMEM213
A2RU14,TMEM218
A2RU48,SMCO3
A2RU67,FAM234B
A2RUG3,XKRY2
A2RUT3,TMEM89
A2VDJ0,TMEM131L
A3KFT3,OR2M5
A4D1S0,KLRG2
A4D256,CDC14C
A4D2G3,OR2A25
A4D2H0,CTAGE15
A4FU28,CTAGE9
A4IF30,SLC35F4
A5D6W6,FITM1
A5PLK6,RGSL1
A5PLL7,TMEM189
A5X5Y0,HTR3E
A5YKK6,CNOT1
A6BM72,MEGF11
A6H8M9,CDHR4
A6NC51,TMEM150B
A6NCQ9,RNF222
A6NCV1,OR6C74
A6ND01,IZUMO1R
A6ND48,OR14I1
A6NDA9,LRIT2
A6NDH6,OR5H15
A6NDL8,OR6C68
A6NDP7,MYADML2
A6NDV4,TMEM8B
A6NDX4,unmapped
A6NEH6,TMEM247
A6NET4,OR5K3
A6NF34,ANTXRL
A6NF89,OR6C6
A6NFA1,TRABD2B
A6NFC5,TMEM235
A6NFC9,OR2W5
A6NFE2,SMCO2
A6NFR6,C5orf60
A6NFU0,FAM187A
A6NFX1,MFSD2B
A6NFY4,NEMP2
A6NGA9,TMEM202
A6NGB7,TMEM221
A6NGC4,TLCD2
A6NGN9,IGLON5
A6NGU5,GGT3P
A6NGY5,OR51F1
A6NGZ8,SMIM9
A6NH00,OR2T8
A6NH21,SERINC4
A6NHA9,OR4C46
A6NHG9,OR5H14
A6NHS7,MANSC4
A6NI61,MYMK
A6NI73,LILRA5
A6NIJ9,OR6C70
A6NIM6,SLC15A5
A6NJU9,NPIPB13
A6NJW9,CD8B2
A6NJY1,SLC9B1P1
A6NJY4,unmapped
A6NJZ3,OR6C65
A6NK97,SLC22A20P
A6NKB5,PCNX2
A6NKC4,unmapped
A6NKK0,OR5H1
A6NKL6,TMEM200C
A6NKW6,SHISAL2B
A6NKX4,SLC22A31
A6NL05,FAM74A7
A6NL08,OR6C75
A6NL26,OR5B21
A6NL88,SHISA7
A6NL99,AQP7P3
A6NLE4,SMIM23
A6NLU5,VSTM2B
A6NLX4,TMEM210
A6NM03,OR2AG2
A6NM10,AQP12B
A6NM11,LRRC37A2
A6NM45,CLDN24
A6NM62,LRRC53
A6NM76,OR6C76
A6NMB1,SIGLEC16
A6NMS3,OR5K4
A6NMS7,LRRC37A
A6NMU1,OR52A4P
A6NMZ5,OR4C45
A6NN92,GJE1
A6NNB3,IFITM5
A6NNC1,unmapped
A6NND4,OR2AT4
A6NNE9,11-Mar
A6NNN8,SLC38A8
A6QL63,BTBD11
A7MBM2,DISP2
A8CG34,POM121C
A8K4G0,CD300LB
A8MPY1,GABRR3
A8MRT5,NPIPB5
A8MUP6,GSG1L2
A8MV81,HIGD1C
A8MVS5,HIDE1
A8MVW0,FAM171A2
A8MVW5,HEPACAM2
A8MVZ5,BTNL10
A8MWK0,FADS2P1
A8MWL7,TMEM14DP
A8MWY0,KIAA1324L
A8MXE2,unmapped
A8MXK1,VSTM5
A8MYB1,TMCO5B
A8MYU2,KCNU1
A9Z1Z3,FER1L4
B0FP48,UPK3BL1
B0YJ81,HACD1
B2RN74,OR11H12
B2RTY4,MYO9A
B2RUZ4,SMIM1
B3SHH9,TMEM114
B4DJY2,TMEM233
B4DS77,SHISA9
B4DYI2,SPATA31C2
B5MD39,GGTLC3
B6A8C7,TARM1
B6SEH8,ERVV-1
B6SEH9,ERVV-2
B7U540,KCNJ18
B7Z8K6,TRDC
B8ZZ34,SHISA8
C9JDP6,CLDN25
C9JG80,NPIPB4
C9JH25,PRRT4
C9JI98,TMEM238
C9JQL5,unmapped
C9JVW0,INAFM1
D3W0D1,KLRF2
E2RYF6,MUC22
E5RHQ5,NPIPB11
E5RIL1,UPK3BL2
E7ERA6,RNF223
F2Z333,FNDC10
F5H4A9,C3orf80
G3V0H7,SLCO1B7
H0YL14,TMEM250
H3BR10,SMLR1
H3BS89,TMEM178B
H3BV60,TGFBR3L
I3L273,GFY
K7EJ46,SMIM22
M0QZC1,RNF225
O00124,UBXN8
O00144,FZD9
O00155,GPR25
O00168,FXYD1
O00180,KCNK1
O00198,HRK
O00206,TLR4
O00219,HAS3
O00220,TNFRSF10A
O00222,GRM8
O00237,RNF103
O00238,BMPR1B
O00241,SIRPB1
O00254,F2RL2
O00255,MEN1
O00264,PGRMC1
O00270,GPR31
O00299,CLIC1
O00300,TNFRSF11B
O00322,UPK1A
O00337,SLC28A1
O00341,SLC1A7
O00391,QSOX1
O00398,P2RY10
O00400,SLC33A1
O00421,CCRL2
O00444,PLK4
O00445,SYT5
O00451,GFRA2
O00453,LST1
O00461,GOLIM4
O00468,AGRN
O00476,SLC17A3
O00478,BTN3A3
O00481,BTN3A1
O00501,CLDN5
O00519,FAAH
O00526,UPK2
O00533,CHL1
O00548,DLL1
O00555,CACNA1A
O00559,EBAG9
O00560,SDCBP
O00562,PITPNM1
O00574,CXCR6
O00587,MFNG
O00590,ACKR2
O00591,GABRP
O00592,PODXL
O00602,FCN1
O00623,PEX12
O00624,SLC17A2
O00631,SLN
O00755,WNT7A
O14493,CLDN4
O14494,PLPP1
O14495,PLPP3
O14511,NRG2
O14514,ADGRB1
O14520,AQP7
O14522,PTPRT
O14523,C2CD2L
O14524,NEMP1
O14525,ASTN1
O14569,CYB561D2
O14581,OR7A17
O14609,XKRY
O14626,GPR171
O14638,ENPP3
O14649,KCNK3
O14653,GOSR2
O14662,STX16
O14668,PRRG1
O14669,PRRG2
O14672,ADAM10
O14678,ABCD4
O14681,EI24
O14683,TP53I11
O14684,PTGES
O14718,RRH
O14735,CDIPT
O14763,TNFRSF10B
O14764,GABRD
O14786,NRP1
O14788,TNFSF11
O14791,APOL1
O14798,TNFRSF10C
O14804,TAAR5
O14817,TSPAN4
O14828,SCAMP3
O14836,TNFRSF13B
O14842,FFAR1
O14843,FFAR3
O14880,MGST3
O14894,TM4SF5
O14917,PCDH17
O14925,TIMM23
O14931,NCR3
O14944,EREG
O14975,SLC27A2
O15031,PLXNB2
O15079,SNPH
O15118,NPC1
O15120,AGPAT2
O15121,DEGS1
O15126,SCAMP1
O15127,SCAMP2
O15146,MUSK
O15155,BET1
O15162,PLSCR1
O15165,LDLRAD4
O15173,PGRMC2
O15197,EPHB6
O15218,GPR182
O15229,KMO
O15239,NDUFA1
O15243,LEPROT
O15244,SLC22A2
O15245,SLC22A1
O15247,CLIC2
O15260,SURF4
O15269,SPTLC1
O15270,SPTLC2
O15303,GRM6
O15320,CTAGE5
O15321,TM9SF1
O15342,ATP6V0E1
O15354,GPR37
O15374,SLC16A4
O15375,SLC16A5
O15389,SIGLEC5
O15393,TMPRSS2
O15394,NCAM2
O15399,GRIN2D
O15400,STX7
O15403,SLC16A6
O15427,SLC16A3
O15431,SLC31A1
O15432,SLC31A2
O15438,ABCC3
